company_name,sector,publicly_traded,ticker,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
NBCNews.com,Internet News and Opinion,No,N/A, , , , , , , ,73,74,74,73,72,74,76,73,74,74,73,75,73,75,77,72,71,73,
NYTimes.com,Internet News and Opinion,Yes,NYT, , , , , , , ,71,70,72,72,72,73,75,73,76,73,74,74,73,76,76,73,75,76,
USATODAY.com,Internet News and Opinion,No,N/A, , , , , , , ,71,72,72,72,74,72,73,74,77,76,75,73,76,74,76,74,71,74,
Hyundai,Automobiles and Light Vehicles,Yes,HYMTF,68,69,68,72,68,76,81,78,81,81,84,84,83,83,85,82,83,85,82,81,81,81,83,80,79,
Jeep (Fiat Chrysler),Automobiles and Light Vehicles,Yes,FCAU,77,76,74,77,77,75,76,79,79,77,78,77,75,76,79,77,79,83,80,79,75,78,80,80,76,
Kia,Automobiles and Light Vehicles,Yes,KIMTF,,,,,,,,,,,,77,78,80,81,80,81,82,82,82,78,79,82,79,76,
Panasonic,Televisions and Video Players,No,N/A,80,80,83,79,,,,,,,,,,,,,,,,,,,,,,
Philips Electronics,Televisions and Video Players,No,N/A,81,82,79,79,,,,,,,,,,,,,,,,,,,,,,
RCA (Thomson),Televisions and Video Players,No,N/A,82,79,79,76,,,,,,,,,,,,,,,,,,,,,,
Buick (GM),Automobiles and Light Vehicles,Yes,GM,84,84,83,84,86,86,86,86,84,83,84,86,86,85,88,88,85,87,82,83,80,79,80,80,79,
SANYO,Televisions and Video Players,No,N/A,79,81,82,84,,,,,,,,,,,,,,,,,,,,,,
Sony,Televisions and Video Players,Yes,SNE,84,81,81,82,,,,,,,,,,,,,,,,,,,,,,
Zenith Electronics,Televisions and Video Players,No,N/A,84,84,84,83,,,,,,,,,,,,,,,,,,,,,,
MillerCoors,Breweries,No,N/A, , , , , , , , , , , , , , , , , ,81,82,81,78,81,, , ,
Clorox,Personal Care and Cleaning Products,Yes,CLX,88,84,83,85,84,85,85,85,86,88,88,86,87,87,88,86,88,87,85,85,82,84,84,85,82,
Colgate-Palmolive,Personal Care and Cleaning Products,Yes,CL,86,82,83,82,80,80,85,80,83,82,83,84,81,87,83,85,84,83,85,83,79,83,81,82,82,
Henkel,Personal Care and Cleaning Products,Yes,HENKY,85,85,83,81,79,85,84,84,85,85,83,83,86,85,84,83,84,83,84,81,79,85,83,82,77,
JVC,Televisions and Video Players,Yes,N/A,78,80,79,80,,,,,,,,,,,,,,,,,,,,,,
Emerson Electric,Televisions and Video Players,Yes,EMR,81,80,,,,,,,,,,,,,,,,,,,,,,,,
Volvo,Automobiles and Light Vehicles,Yes,VOLV-B,84,84,84,81,80,82,81,82,81,80,81,,,,,,,,,,79,,82,85,82,
Lexus (Toyota),Automobiles and Light Vehicles,Yes,TM,,,,,,,,,,,,86,87,87,89,85,87,89,87,84,84,84,86,85,84,
Lincoln (Ford),Automobiles and Light Vehicles,Yes,F,84,80,81,83,82,85,82,84,81,86,83,83,86,83,88,89,86,90,,,83,87,83,84,82,
Mazda,Automobiles and Light Vehicles,Yes,MZDAY,77,75,74,77,76,78,78,81,82,78,80,79,78,80,81,80,79,82,82,80,80,80,82,80,77,
Mercedes-Benz,Automobiles and Light Vehicles,Yes,DDAIF,86,87,87,86,86,87,86,83,83,80,80,82,83,82,86,86,86,85,88,86,83,81,84,82,83,
Nissan,Automobiles and Light Vehicles,Yes,NSANY,82,80,79,77,79,78,80,80,79,81,78,82,80,82,78,82,84,83,83,81,77,80,80,80,75,
Oldsmobile (GM),Automobiles and Light Vehicles,No,N/A,84,82,82,82,81,80,81,82,80,80,, , , , , , , , , , , , , , ,
Pontiac (GM),Automobiles and Light Vehicles,No,N/A,79,78,78,76,78,78,78,78,76,79,80,79,80,80,81,, , , , , , , , , ,
Saturn (GM),Automobiles and Light Vehicles,No,N/A,83,81,82,85,80,82,80,81,81,81,81,80,81,85,84,,,,,,,,,,,
Subaru,Automobiles and Light Vehicles,Yes,FUJHY,79,83,79,83,,,,,,,,,,,,,,87,86,85,82,84,85,84,82,
Toyota,Automobiles and Light Vehicles,Yes,TM,84,84,84,85,83,82,83,83,85,84,87,87,84,86,86,84,87,85,86,83,82,85,86,83,81,
Volkswagen,Automobiles and Light Vehicles,Yes,VOW3,76,76,79,78,82,83,81,82,76,80,78,78,80,81,86,81,84,85,84,84,80,78,79,82,77,
HuffPost (Verizon),Internet News and Opinion,Yes,VZ, , , , , , , ,,,,,,,,,,69,69,69,70,71,72,67,70,70,
TracFone Wireless,Wireless Telephone Service,Yes,N/A, , , , , , , ,,,,,,,,,,,,,,77,75,77,78,78,
Frontier Communications,Subscription Television Service,Yes,N/A,,, ,,,,,,,,,,,,,,,,,,,,60,56,57,
Suddenlink (Altice),Fixed-Line Telephone Service,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,71,61,
U-verse TV (AT&T),Video-on-Demand Service,No,N/A,,, , , , , , , , , , , , , , , , , , , , , ,74,72,
DISH Network,Video-on-Demand Service,Yes,DISH,,, , , , , , , , , , , , , , , , , , , , , ,73,71,
Fios (Verizon),Video-on-Demand Service,No,N/A,,, , , , , , , , , , , , , , , , , , , , , ,72,72,
DIRECTV (AT&T),Video-on-Demand Service,Yes,T,,, , , , , , , , , , , , , , , , , , , , , ,70,70,
Optimum (Altice),Video-on-Demand Service,No,N/A,,, , , , , , , , , , , , , , , , , , , , , ,68,66,
Cox Communications,Video-on-Demand Service,No,N/A,,, , , , , , , , , , , , , , , , , , , , , ,67,66,
Xfinity (Comcast),Video-on-Demand Service,Yes,CMCSA,,, , , , , , , , , , , , , , , , , , , , , ,67,66,
Spectrum (Charter),Video-on-Demand Service,Yes,CHTR,,, , , , , , , , , , , , , , , , , , , , , ,64,64,
Netflix,Video Streaming Service,Yes,NFLX,,, , , , , , , , , , , , , , , , , , , , , ,78,79,
Sony PlayStation Vue,Video Streaming Service,No,N/A,,, , , , , , , , , , , , , , , , , , , , , ,78,78,
Twitch (Amazon),Video Streaming Service,Yes,AMZN,,, , , , , , , , , , , , , , , , , , , , , ,78,75,
Apple iTunes,Video Streaming Service,No,N/A,,, , , , , , , , , , , , , , , , , , , , , ,77,76,
Microsoft Store,Video Streaming Service,Yes,MSFT,,, , , , , , , , , , , , , , , , , , , , , ,77,77,
YouTube (Google),Video Streaming Service,Yes,GOOGL,,, , , , , , , , , , , , , , , , , , , , , ,76,75,
Amazon Prime Video,Video Streaming Service,Yes,AMZN,,, , , , , , , , , , , , , , , , , , , , , ,75,76,
Netflix,Internet Retail,Yes,NFLX,,, , , ,,,,,,,,84,85,87,86,74,75,79,81,76,79,,,,
Save-A-Lot,Supermarkets,No,N/A,,,,,,,,,,,,,,,,,,,,,,,76,76,75,
BJ's Wholesale Club,Supermarkets,No,N/A,,,,,,,,,,,,,,,,,,,,,,,80,79,82,
Ask.com,Internet Search Engines,No,N/A,,,, , ,,,,,,,,,,,,,,,,,73,72,70,73,
Charles Schwab,Financial Advisors,Yes,SCHW, , , , , ,,,,,,,,,,,,,,,,, ,82,82,82,
LPL Financial,Financial Advisors,Yes,LPLA, , , , , ,,,,,,,,,,,,,,,,, ,82,78,78,
Morgan Stanley,Financial Advisors,Yes,MS, , , , , , , , , , , , , , , , , , , , , , ,81,79,79,
Raymond James,Financial Advisors,Yes,RJF, , , , , , , , , , , , , , , , , , , , , , ,81,81,80,
Wells Fargo,Financial Advisors,Yes,WFC, , , , , , , , , , , , , , , , , , , , , , ,80,79,79,
Fidelity,Financial Advisors,No,N/A, , , , , , , , , , , , , , , , , , , , , , ,79,79,79,
Merrill (Bank of America),Financial Advisors,Yes,BAC, , , , , , , , , , , , , , , , , , , , , , ,79,79,77,
UBS,Financial Advisors,Yes,UBS, , , ,,,,,,,,,,,,,,,,,,,,79,80,80,
Independent Advisors,Financial Advisors,No,N/A, , , ,,,,,,,,,,,,,,,,,,,,79,81,80,
O'Reilly Auto Parts,Specialty Retail Stores,Yes,ORLY, , , ,,,,,,,,,,,,,,,,,,,,81,80,78,
Foot Locker,Specialty Retail Stores,Yes,FL,,,,,,,,,,,,,,,,,,,,,,,78,78,79,
Michaels,Specialty Retail Stores,No,N/A,,,,,,,,,,,,,,,,,,,,,,,78,79,77,
Cabela's,Specialty Retail Stores,No,N/A,,,,,,,,,,,,,,,,,,,,,,,82,80,80,
Costco,Supermarkets,Yes,COST,,,,,,,,,,,,,,,,,,,,,,,83,83,83,
Sam's Club (Walmart),Supermarkets,Yes,WMT,,,,,,,,,,,,,,,,,,,,,,,82,80,80,
Google Play,Video Streaming Service,No,N/A,,,,,,,,,,,,,,,,,,,,,,, ,75,75,
Hulu,Video Streaming Service,No,N/A,,,,,,,,,,,,,,,,,,,,,,, ,75,76,
Vudu (Walmart),Video Streaming Service,No,N/A, , , ,,,,,,,,,,,,,,,,,,,,,75,75,
Home Depot,Internet Retail,Yes,HD, , , ,,,,,,,,,,,,,,,,,,,,,79,78,
Lowe's,Internet Retail,Yes,LOW, , , ,,,,,,,,,,,,,,,,,,,,,79,78,
Gap,Internet Retail,Yes,GPS, , , ,,,,,,,,,,,,,,,,,,,,,78,78,
Best Buy,Internet Retail,Yes,BBY, , , ,,,,,,,,,,,,,,,,,,,,,77,78,
Groupon Goods,Internet Retail,Yes,GRPN, , , ,,,,,,,,,,,,,,,,,,,,,76,77,
Staples,Internet Retail,Yes,SPLS, , , ,,,,,,,,,,,,,,,,,,,,,76,77,
Walgreens,Internet Retail,Yes,WBA, , , ,,,,,,,,,,,,,,,,,,,,,76,75,
GameStop,Internet Retail,Yes,GME, , , ,,,,,,,,,,,,,,,,,,,,,75,76,
Walmart,Internet Retail,Yes,WMT, , , ,,,,,,,,,,,,,,,,,,,,,74,74,
Sears,Internet Retail,No,N/A, , , ,,,,,,,,,,,,,,,,,,,,,73,73,
Ulta Beauty,Specialty Retail Stores,Yes,ULTA, , , ,,,,,,,,,,,,,,,,,,,,,80,80,
Sephora,Specialty Retail Stores,No,N/A, , , ,,,,,,,,,,,,,,,,,,,,,79,80,
TripAdvisor,Internet Travel Services,Yes,TRIP, , , ,,,,,,,,,,,,,,,,,,,,,,82,
Frontier Communications,Video-on-Demand Service,Yes,FTR, , , ,,,,,,,,,,,,,,,,,,,,,,67,
Sonic Drive-In,Limited-Service Restaurants,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,76,
Snapchat,Internet Social Media,Yes,SNAP, , , ,,,,,,,,,,,,,,,,,,,,,,71,
Dell,Internet Retail,Yes,DELL, , , ,,,,,,,,,,,,,,,,,,,,,79,78,
Wayfair,Internet Retail,Yes,W, , , ,,,,,,,,,,,,,,,,,,,,,80,80,
Target,Internet Retail,Yes,TGT, , , ,,,,,,,,,,,,,,,,,,,,,80,78,
CBS All Access,Video Streaming Service,No,N/A, , , ,,,,,,,,,,,,,,,,,,,,,74,75,
HBO,Video Streaming Service,No,N/A, , , , , , , , , , , , , , , , , , , , , , , ,72,74,
Starz,Video Streaming Service,No,N/A, , , , , , , , , , , , , , , , , , , , , , , ,72,72,
Sling TV (DISH),Video Streaming Service,No,N/A, , , , , , , , , , , , , , , , , , , , , , , ,71,74,
