Company Name,Ticker Name,Exchange,Ticker Symbol,Division,"Type (Public, Subsidiary, Private, Defunct, Government)",Notes,"Base-
line",95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,"Previous
Year
%
Change"
BJ's Wholesale Club [Department and Discount Stores],BJs Wholesale Club Holdings Inc,NYSE,BJ,No,Public,, , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,81,76,79,80,79,79,,0.0
Bed Bath & Beyond [Specialty Retail Stores],Bed Bath & Beyond Inc.,NASDAQ,BBBY,No,Public,, , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,81,75,79,80,79,80,,1.3
Walmart [Health and Personal Care Stores],Walmart Inc,NYSE,WMT,No,Public,, , , , , , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,68,68,76,75,73,74,,1.4
Target [Health and Personal Care Stores],Target Corporation,NYSE,TGT,No,Public,, , , , , , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,78,80,79,#, , ,,N/A
Kroger [Health and Personal Care Stores],Kroger Co,NYSE,KR,No,Public,, , , , , , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,81,81,81,80,81,78,,-3.7
Family Dollar [Department and Discount Stores],N/A,N/A,N/A,N/A,,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,75,#, , , , ,,N/A
Dollar Tree [Department and Discount Stores],"Dollar Tree, Inc.",NASDAQ,DLTR,No,Public,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,79,76,80,77,77,77,,0.0
Audi (Volkswagen) [Automobiles and Light Vehicles],VOLKSWAGEN GROUP Common Stock,OTCMKTS,VLKPF,Yes,Subsidiary,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,79,78,83,82,83,82,,-1.2
Domino's [Limited-Service Restaurants],"Domino's Pizza, Inc.",NYSE,DPZ,No,Public,,67,70,68,68,70,67,69,73,75,75,NM**,71,75,75,75,77,77,77,77,81,80,75,78,78,79,79,,0.0
Travelocity (Expedia) [Internet Travel Services],Expedia Group Inc,NASDAQ,EXPE,Yes,Subsidiary,, , , , , , , , ,76,76,76,75,74,73,75,75,77,79,75,NM***,74,75,78,77,80,77,,-3.8
Menards [Specialty Retail Stores],N/A,N/A,N/A,N/A,,, , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,78,78,79,80,80,80,,0.0
Big Lots [Department and Discount Stores],"Big Lots, Inc.",NYSE,BIG,No,Public,, , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,77,74,77,74,75,73,,-2.7
G6 Hospitality (Motel 6) [Hotels],N/A,N/A,N/A,N/A,,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,63,65,65,65,64,,-1.5
Target [Supermarkets],Target Corporation,NYSE,TGT,No,Public,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,81,71,78,79,78,79,,1.3
Giant Eagle [Supermarkets],N/A,N/A,N/A,N/A,,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,72,67,74,76,76,76,,0.0
"Ahold USA (Stop & Shop, Giant) [Supermarkets]",N/A,N/A,N/A,N/A,,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,72,70,#, , , ,,N/A
ShopRite [Supermarkets],SHOPRITE HOLDIN/S ADR,OTCMKTS,SRGHY,No,Public,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,77,75,79,79,79,80,,1.3
Aldi [Supermarkets],N/A,N/A,N/A,N/A,,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,81,81,83,84,84,83,,-1.2
H-E-B [Supermarkets],N/A,N/A,N/A,N/A,,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,82,82,83,83,82,84,,2.4
Wegmans [Supermarkets],N/A,N/A,N/A,N/A,,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,85,86,83,84,85,84,,-1.2
Trader Joe's [Supermarkets],N/A,N/A,N/A,N/A,,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,85,83,86,85,86,84,,-2.3
Texas Roadhouse [Full-Service Restaurants],Texas Roadhouse Inc,NASDAQ,TXRH,No,Public,, , , , , , , , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,83,82,82,83,83,,0.0
GameStop [Specialty Retail Stores],GameStop Corp.,NYSE,GME,No,Public,, , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,77,78,80,77,74,75,,1.4
Priceline [Internet Travel Services],N/A,N/A,N/A,N/A,,, , , , , , ,66,69,71,71,73,72,72,73,72,76,73,76,74,NM***,75,75,81,77,78,76,,-2.6
CBS Broadcasting [Network/Cable TV News],N/A,N/A,N/A,N/A,,,79,75,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,,N/A
Google [Internet Search Engines and Information],Alphabet Inc Class A,NASDAQ,GOOGL,No,Public,, , , , , , ,NM,NM,80,82,82,82,81,78,86,86,80,83,82,77,83,78,84,82,82,79,,-3.7
MSN (Microsoft) [Internet Search Engines and Information],Microsoft Corporation,NASDAQ,MSFT,Yes,Subsidiary,, , , , , , ,71,67,72,74,75,75,74,75,75,75,75,78,78,74,73,74,75,72,76,72,,-5.3
Yahoo! (Verizon Media) [Internet Search Engines and Information],Verizon Communications Inc.,NYSE,VZ,Yes,Subsidiary,, , , , , , ,74,73,76,78,78,80,76,79,77,77,76,79,78,76,71,75,74,73,74,70,,-5.4
BMW [Automobiles and Light Vehicles],BAYERISCHE MOTO/S ADR,OTCMKTS,BMWYY,No,Public,,82,81,81,80,86,86,84,86,86,85,84,86,85,86,87,87,86,83,86,82,80,82,85,82,82,82,,0.0
Cadillac (GM) [Automobiles and Light Vehicles],General Motors Company,NYSE,GM,Yes,Subsidiary,,83,84,88,84,88,85,86,88,86,87,83,86,84,86,85,89,86,87,86,85,80,80,79,83,82,81,,-1.2
Chevrolet (GM) [Automobiles and Light Vehicles],General Motors Company,NYSE,GM,Yes,Subsidiary,,77,79,79,78,79,76,80,78,78,79,77,78,81,82,79,83,80,82,84,79,82,79,83,81,79,80,,1.3
Chrysler (Fiat Chrysler) [Automobiles and Light Vehicles],Fiat Chrysler Automobiles NV,NYSE,FCAU,Yes,Subsidiary,,81,82,80,80,80,79,80,78,80,82,80,80,80,79,80,84,80,76,78,83,81,74,79,79,74,71,,-4.1
Dodge (Fiat Chrysler) [Automobiles and Light Vehicles],Fiat Chrysler Automobiles NV,NYSE,FCAU,Yes,Subsidiary,,80,77,77,77,78,75,81,77,78,78,75,78,78,80,78,81,78,79,81,79,78,76,78,75,77,74,,-3.9
Ford [Automobiles and Light Vehicles],Ford Motor Company,NYSE,F,No,Public,,75,79,78,77,77,77,77,78,78,80,76,75,77,80,80,83,82,84,83,83,81,79,81,79,77,77,,0.0
GMC (GM) [Automobiles and Light Vehicles],General Motors Company,NYSE,GM,Yes,Subsidiary,,NM,NM,NM,80,78,81,81,79,81,83,80,81,82,82,83,82,84,83,80,85,82,78,84,84,80,78,,-2.5
Honda [Automobiles and Light Vehicles],Honda Motor Co Ltd,NYSE,HMC,No,Public,,85,86,83,82,81,83,82,83,82,82,85,86,86,84,86,88,84,85,83,86,83,80,86,81,83,82,,-1.2
Bing (Microsoft) [Internet Search Engines and Information],Microsoft Corporation,NASDAQ,MSFT,Yes,Subsidiary,, , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,77,82,81,76,73,72,75,73,73,72,,-1.4
AOL (Verizon Media) [Internet Search Engines and Information],Verizon Communications Inc.,NYSE,VZ,Yes,Subsidiary,, , , , , , ,56,58,59,65,67,71,74,67,69,70,74,75,74,71,70,74,69,70,68,74,,8.8
AltaVista [Internet Search Engines and Information],N/A,N/A,N/A,N/A,,, , , , , , ,NM,NM,61,63,66,NM,NM,NM,NM,NM,NM,NM,NM,†, , , , , , ,,N/A
NBC Television Network [Network/Cable TV News],Comcast Corporation,NASDAQ,CMCSA,Yes,Subsidiary,,76,74,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,,N/A
Turner Broadcasting System [Network/Cable TV News],N/A,N/A,N/A,N/A,,,82,81,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,,N/A
Sprint [Wireless Telephone Service],T-Mobile Us Inc,NASDAQ,TMUS,Yes,Subsidiary,"Acquired by T-Mobile April 1, 2020.", , , , , , , , , , ,59,63,63,61,56,63,70,72,71,71,68,65,70,73,70,69,,-1.4
Motorola (Lenovo) [Cellular Telephones],Lenovo Group Limited,OTCMKTS,LNVGY,Yes,Subsidiary,"{“GOOGL” : “5/22/2012”, “LNVGY” : 10/30/2014”} ",, , , , , , , , , ,70,70,71,72,74,72,76,77,73,77,77,79,77,76,79,80,,1.3
BlackBerry [Cellular Telephones],BlackBerry Ltd,NYSE,BB,No,Public,, , , , , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,69,69,74,78,NM,NM,NM,NM,,N/A
ABCNews.com [Internet News and Opinion],N/A,N/A,N/A,N/A,,, , , , , , , , ,74,74,74,74,73,74,75,71,75,77,76,75,74,74,76,74,71,73,,2.8
CNN.com (WarnerMedia/AT&T) [Internet News and Opinion],AT&T Inc.,NYSE,T,Yes,Subsidiary, {“T”: “6/14/2018”},, , , , , , , ,72,72,74,72,74,73,73,71,73,74,75,73,70,73,75,71,68,69,,1.5
FOXNews.com [Internet News and Opinion],Fox Corp Class A,NASDAQ,FOXA,Yes,Subsidiary,, , , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,82,82,84,82,76,76,79,77,78,78,,0.0
NBCNews.com [Internet News and Opinion],Comcast Corporation,NASDAQ,CMCSA,Yes,Subsidiary,, , , , , , , , ,73,74,74,73,72,74,76,73,74,74,73,75,73,75,77,72,71,73,,2.8
NYTimes.com [Internet News and Opinion],New York Times Co,NYSE,NYT,No,,, , , , , , , , ,71,70,72,72,72,73,75,73,76,73,74,74,73,76,76,73,75,76,,1.3
USATODAY.com [Internet News and Opinion],N/A,N/A,N/A,N/A,,, , , , , , , , ,71,72,72,72,74,72,73,74,77,76,75,73,76,74,76,74,71,74,,4.2
Hyundai [Automobiles and Light Vehicles],HYUNDAI MTR CO/GDR,OTCMKTS,HYMTF,No,,,68,68,69,68,72,68,76,81,78,81,81,84,84,83,83,85,82,83,85,82,81,81,81,83,80,79,,-1.3
Jeep (Fiat Chrysler) [Automobiles and Light Vehicles],Fiat Chrysler Automobiles NV,NYSE,FCAU,Yes,,,78,77,76,74,77,77,75,76,79,79,77,78,77,75,76,79,77,79,83,80,79,75,78,80,80,76,,-5.0
