,ma1_length,ma2_length,median_return_rate,stdev_return_rate,cumulative_return,cumulative_baseline_return,profitable_quarters,sharpe_ratio,total_trades,mean_trades_per_quarter
63,803,1037,0.0,,39.907920766634604,32.248566172492154,14,,68,1.9428571428571428
64,179,823,0.0,,39.760640598537876,32.248566172492154,15,,93,2.657142857142857
65,2,392,0.02703912659929686,,333.98409232332097,32.248566172492154,20,,951,27.17142857142857
66,1075,1095,0.03673932186967921,,98.5784004235908,32.248566172492154,16,,155,4.428571428571429
67,1083,1091,0.03447965673266329,,106.97230058239347,32.248566172492154,17,,235,6.714285714285714
68,469,472,0.03354092710527312,,8.41956368342101,32.248566172492154,17,,849,24.257142857142856
69,183,256,0.030977951407103133,,48.471846553434055,32.248566172492154,19,,330,9.428571428571429
70,463,888,0.0,,42.28850425094635,32.248566172492154,13,,77,2.2
71,46,536,0.07265964909849587,,125.4638945346972,32.248566172492154,20,,193,5.514285714285714
72,233,536,0.04360749389113838,,121.0668997000029,32.248566172492154,19,,121,3.4571428571428573
73,1038,1056,0.0,,47.01160721579442,32.248566172492154,14,,171,4.885714285714286
74,983,1065,0.0,,42.80579186426256,32.248566172492154,14,,97,2.7714285714285714
75,816,1062,0.0,,53.84743236859724,32.248566172492154,15,,68,1.9428571428571428
76,119,363,0.02719921447971907,,60.9928433776451,32.248566172492154,16,,199,5.685714285714286
77,385,603,0.0,,34.84574960168099,32.248566172492154,15,,119,3.4
78,139,631,0.0,,58.12050840452281,32.248566172492154,15,,118,3.3714285714285714
79,195,265,0.115199038381961,,85.0028984977049,32.248566172492154,20,,318,9.085714285714285
80,375,598,0.0,,28.085298282220588,32.248566172492154,15,,116,3.3142857142857145
81,548,938,0.0,,56.575792358085806,32.248566172492154,15,,72,2.057142857142857
82,607,913,0.02236111699259613,,79.02471410518993,32.248566172492154,17,,74,2.1142857142857143
83,712,1043,-0.05669415935877764,,38.158202148129305,32.248566172492154,12,,66,1.8857142857142857
84,408,573,0.00854579222416696,,31.352559804223276,32.248566172492154,16,,140,4.0
85,17,961,0.0,,60.24179488320532,32.248566172492154,14,,181,5.171428571428572
86,994,1071,0.0,,47.33777612424085,32.248566172492154,15,,102,2.914285714285714
87,627,1051,0.0,,22.289335362648195,32.248566172492154,13,,64,1.8285714285714285
88,696,871,0.030908942824564134,,48.85318274108945,32.248566172492154,16,,82,2.342857142857143
89,6,423,0.05800247871397768,,384.5407540268635,32.248566172492154,20,,519,14.82857142857143
90,205,291,0.11468297297215257,,51.00593308763372,32.248566172492154,17,,270,7.714285714285714
91,834,1057,0.0,,59.349244696759854,32.248566172492154,14,,68,1.9428571428571428
92,1052,1064,0.0,,55.654546104369615,32.248566172492154,15,,212,6.057142857142857
93,226,1008,-0.09331421797939321,,40.79630266860543,32.248566172492154,12,,56,1.6
94,590,655,0.1051982301488299,,76.37675537180476,32.248566172492154,17,,172,4.914285714285715
95,463,607,0.017349158729284664,,38.12704742165769,32.248566172492154,16,,139,3.9714285714285715
96,73,550,0.0648838247269361,,151.40374704197657,32.248566172492154,17,,150,4.285714285714286
97,518,960,0.0,,42.826199437881456,32.248566172492154,14,,74,2.1142857142857143
98,671,831,0.008640385371608383,,62.294231387347075,32.248566172492154,16,,86,2.4571428571428573
99,892,1073,0.0,,18.13626464356937,32.248566172492154,12,,77,2.2
