,ma_length,stop_loss,buy_threshold,take_profit,cumulative_return,cumulative_baseline_return,profitable_quarters,total_trades,quarters_beating_baseline_results,strategy_quarterly_stdev,baseline_quarterly_stdev
46,127,0.3,0.61,0.88,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
47,11,0.66,0.99,0.16,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
48,404,0.69,0.03,0.87,9.268155462868009,32.248566172492154,17,1,0.0,0.545199212905042,0.6436151499452962
49,712,0.84,0.36,0.0,0.8152548946621974,32.248566172492154,6,10,0.5,0.06804661386312451,0.6436151499452962
50,371,0.5,0.56,0.09,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
51,573,0.26,0.15,0.55,-0.2119143258726276,32.248566172492154,19,635,0.11,0.6384638096977184,0.6436151499452962
52,630,0.37,0.54,0.75,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
53,343,0.22,0.61,0.44,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
54,859,0.8,0.05,0.34,5.580575294510645,32.248566172492154,17,21,0.14,0.4345808511215679,0.6436151499452962
55,612,0.0,0.51,0.48,0.1307193043680297,32.248566172492154,1,2,0.5,0.032319916350572256,0.6436151499452962
56,1008,0.13,0.6,0.21,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
57,988,0.35,0.73,0.72,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
58,271,0.74,0.88,0.16,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
59,340,0.85,0.43,0.33,4.612013427335686,32.248566172492154,5,2,0.5,0.1952910430803803,0.6436151499452962
60,422,0.99,0.67,0.95,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
61,676,0.36,0.96,0.08,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
62,1001,0.81,0.38,0.99,0.8484178364496351,32.248566172492154,8,1,0.22,0.4049102111622787,0.6436151499452962
63,736,0.84,0.85,0.15,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
64,112,0.39,0.6,0.42,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
65,1054,0.22,0.24,0.75,-0.9999748113207898,32.248566172492154,5,2624,0.28,0.43083642996143934,0.6436151499452962
66,572,0.55,0.29,0.19,5.378225368529612,32.248566172492154,12,17,0.47,0.13768429374737373,0.6436151499452962
67,976,0.16,0.07,0.45,-0.9999999999994346,32.248566172492154,13,6069,0.03,0.7317108329503329,0.6436151499452962
68,962,0.34,0.72,0.96,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
69,391,0.1,0.29,0.97,-0.5477805585180098,32.248566172492154,3,244,0.47,0.08401617317898777,0.6436151499452962
70,1002,0.81,0.77,0.91,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
71,626,0.63,0.2,0.69,11.309690898105448,32.248566172492154,15,5,0.14,0.5731629733282116,0.6436151499452962
72,458,0.02,0.5,0.2,0.1307193043680297,32.248566172492154,1,2,0.5,0.032319916350572256,0.6436151499452962
73,175,0.05,0.43,0.26,0.1307193043680297,32.248566172492154,1,2,0.5,0.032319916350572256,0.6436151499452962
74,366,0.38,0.08,0.17,0.47207310574364714,32.248566172492154,17,73,0.39,0.33338142799604503,0.6436151499452962
75,128,0.95,0.55,0.79,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
76,159,0.17,0.02,0.86,-0.7379216455294979,32.248566172492154,16,541,0.0,0.5397742428208714,0.6436151499452962
77,1073,0.55,0.73,0.96,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
78,985,0.49,0.43,0.06,0.3871297066526356,32.248566172492154,3,14,0.5,0.06608661895397705,0.6436151499452962
79,229,0.68,0.1,0.37,22.14122125314357,32.248566172492154,18,7,0.08,0.5438248906836783,0.6436151499452962
80,36,0.02,0.14,0.03,-0.20731226389761037,32.248566172492154,9,104,0.47,0.060585718777784084,0.6436151499452962
81,709,0.8,0.8,0.01,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
82,189,0.81,0.86,0.93,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
83,403,0.52,0.5,0.74,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
84,372,0.15,0.33,0.86,-0.07089046903933427,32.248566172492154,2,94,0.5,0.015777115989080215,0.6436151499452962
85,650,0.67,0.86,0.13,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
86,371,0.94,0.94,0.21,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
87,556,0.46,0.37,0.77,1.3623460624654835,32.248566172492154,9,3,0.25,0.4017220386352461,0.6436151499452962
88,1004,0.08,0.15,0.79,-0.9999999999999991,32.248566172492154,0,6998,0.08,0.393133986533621,0.6436151499452962
89,278,0.15,0.88,0.26,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
90,631,0.64,0.98,0.06,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
91,535,0.63,0.74,0.54,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
92,417,0.85,0.68,0.36,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
93,51,0.32,0.97,0.78,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
94,199,0.43,0.63,0.73,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
95,1041,0.74,0.98,0.88,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
96,540,0.89,0.3,0.78,5.215566627544009,32.248566172492154,10,3,0.22,0.5161335193387669,0.6436151499452962
97,917,0.3,0.15,0.0,-0.989989260194982,32.248566172492154,12,736,0.44,0.26789970229315474,0.6436151499452962
98,394,0.69,0.72,0.09,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
99,21,0.24,0.28,0.93,2.7579478402284816,32.248566172492154,6,1,0.36,0.2900795198383298,0.6436151499452962
