https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1535806800,2018-09-01 13:00:00,BTC/USD,7036.0,7056.6,7036.0,7056.45,957238.02,135.83
1535803200,2018-09-01 12:00:00,BTC/USD,7068.9,7068.9,7028.1,7036.0,5582176.3,792.32
1535799600,2018-09-01 11:00:00,BTC/USD,7100.2,7119.0,7064.0,7068.9,4142272.11,583.92
1535796000,2018-09-01 10:00:00,BTC/USD,7071.5,7115.5,7071.4,7100.2,11949556.76,1684.47
1535792400,2018-09-01 09:00:00,BTC/USD,7057.1,7082.0,7049.3,7071.5,3887280.57,549.82
1535788800,2018-09-01 08:00:00,BTC/USD,7050.2,7065.2,7045.9,7057.1,1387520.16,196.6
1535785200,2018-09-01 07:00:00,BTC/USD,7045.0,7077.0,7044.95,7050.2,5941432.38,841.46
1535781600,2018-09-01 06:00:00,BTC/USD,7047.0,7047.1,7029.4,7045.0,3525986.2,500.57
1535778000,2018-09-01 05:00:00,BTC/USD,7051.3,7058.4,7024.4,7047.0,1740128.82,247.34
1535774400,2018-09-01 04:00:00,BTC/USD,7062.1,7067.03,7040.0,7051.3,2152160.55,305.28
1535770800,2018-09-01 03:00:00,BTC/USD,7040.0,7067.0,7039.6,7062.1,1346374.03,190.92
1535767200,2018-09-01 02:00:00,BTC/USD,7033.6,7061.0,7033.57,7040.0,2787678.24,395.72
1535763600,2018-09-01 01:00:00,BTC/USD,7046.0,7058.4,7033.56,7033.6,3081687.15,437.35
1535760000,2018-09-01 00:00:00,BTC/USD,7014.6,7064.8,7011.3,7046.0,3073609.3,436.68
1535756400,2018-08-31 23:00:00,BTC/USD,7025.91,7051.3,6997.7,7014.6,8123153.55,1158.2
1535752800,2018-08-31 22:00:00,BTC/USD,7031.2,7040.3,7016.6,7025.91,1289753.03,183.51
1535749200,2018-08-31 21:00:00,BTC/USD,7044.6,7089.0,6977.4,7031.2,6433813.23,914.99
1535745600,2018-08-31 20:00:00,BTC/USD,7045.0,7062.4,7043.9,7044.6,2200859.34,312.2
1535742000,2018-08-31 19:00:00,BTC/USD,7051.5,7051.51,7029.0,7045.0,1717267.87,243.93
1535738400,2018-08-31 18:00:00,BTC/USD,7052.3,7100.0,7036.2,7051.5,6900088.69,976.3
1535734800,2018-08-31 17:00:00,BTC/USD,6986.6,7089.6,6976.6,7052.3,16230845.49,2306.59
1535731200,2018-08-31 16:00:00,BTC/USD,6920.1,6995.0,6920.0,6986.6,8813662.99,1264.88
1535727600,2018-08-31 15:00:00,BTC/USD,6920.0,6920.7,6910.0,6920.1,466003.44,67.37
1535724000,2018-08-31 14:00:00,BTC/USD,6935.0,6939.0,6920.0,6920.0,2958857.15,427.03
1535720400,2018-08-31 13:00:00,BTC/USD,6905.0,6935.0,6904.9,6935.0,4556966.91,658.59
1535716800,2018-08-31 12:00:00,BTC/USD,6968.6,6979.0,6881.6,6905.0,12709052.11,1835.04
1535713200,2018-08-31 11:00:00,BTC/USD,6954.2,6987.75,6952.6,6968.6,4882893.94,700.23
1535709600,2018-08-31 10:00:00,BTC/USD,6958.0,6963.0,6940.0,6954.2,2514549.24,361.62
1535706000,2018-08-31 09:00:00,BTC/USD,6959.1,6967.0,6930.08,6958.0,3294992.88,473.86
1535702400,2018-08-31 08:00:00,BTC/USD,6963.62,6986.5,6957.2,6959.1,2762804.71,396.14
1535698800,2018-08-31 07:00:00,BTC/USD,6995.0,7000.0,6960.0,6963.62,5456232.65,782.21
1535695200,2018-08-31 06:00:00,BTC/USD,6997.3,6999.1,6980.0,6995.0,5608564.93,802.38
1535691600,2018-08-31 05:00:00,BTC/USD,7006.6,7019.0,6985.0,6997.3,4875074.63,695.93
1535688000,2018-08-31 04:00:00,BTC/USD,6971.3,7019.0,6956.4,7006.6,8187295.47,1171.24
1535684400,2018-08-31 03:00:00,BTC/USD,6950.0,6971.4,6948.7,6971.3,4119808.49,592.05
1535680800,2018-08-31 02:00:00,BTC/USD,6938.78,6977.9,6929.5,6950.0,3978345.3,571.97
1535677200,2018-08-31 01:00:00,BTC/USD,6952.0,6967.6,6927.1,6938.78,3224741.85,463.95
1535673600,2018-08-31 00:00:00,BTC/USD,6986.0,6986.1,6951.0,6952.0,6232895.01,893.85
1535670000,2018-08-30 23:00:00,BTC/USD,6936.3,7013.5,6933.4,6986.0,9528516.1,1366.21
1535666400,2018-08-30 22:00:00,BTC/USD,6940.5,6954.32,6927.6,6936.3,1966835.85,283.42
1535662800,2018-08-30 21:00:00,BTC/USD,6917.3,6965.8,6912.8,6940.5,7776848.17,1121.31
1535659200,2018-08-30 20:00:00,BTC/USD,6818.9,6949.0,6806.5,6917.3,11896636.26,1724.41
1535655600,2018-08-30 19:00:00,BTC/USD,6826.48,6841.2,6808.7,6818.9,4095212.53,599.77
1535652000,2018-08-30 18:00:00,BTC/USD,6860.6,6860.6,6802.1,6826.48,9109200.95,1333.51
1535648400,2018-08-30 17:00:00,BTC/USD,6857.0,6880.0,6857.0,6860.6,2532947.31,368.82
1535644800,2018-08-30 16:00:00,BTC/USD,6862.2,6873.0,6840.0,6857.0,3557820.7,519.2
1535641200,2018-08-30 15:00:00,BTC/USD,6870.83,6897.7,6860.6,6862.2,5728993.51,832.41
1535637600,2018-08-30 14:00:00,BTC/USD,6850.3,6897.4,6841.6,6870.83,7364377.31,1072.26
1535634000,2018-08-30 13:00:00,BTC/USD,6838.4,6867.4,6825.0,6850.3,11680854.87,1706.42
1535630400,2018-08-30 12:00:00,BTC/USD,6874.8,6918.0,6831.0,6838.4,14257302.82,2074.99
1535626800,2018-08-30 11:00:00,BTC/USD,6937.3,6940.0,6854.2,6874.8,11229314.23,1629.39
1535623200,2018-08-30 10:00:00,BTC/USD,6926.0,6940.6,6898.4,6937.3,7791195.49,1125.5
1535619600,2018-08-30 09:00:00,BTC/USD,6947.3,6962.2,6883.1,6926.0,12019358.0,1736.46
1535616000,2018-08-30 08:00:00,BTC/USD,6979.03,6993.6,6938.3,6947.3,7097512.71,1018.73
1535612400,2018-08-30 07:00:00,BTC/USD,6984.3,7000.0,6970.5,6979.03,3821400.36,546.82
1535608800,2018-08-30 06:00:00,BTC/USD,6967.7,6995.0,6930.0,6984.3,6002728.76,861.38
1535605200,2018-08-30 05:00:00,BTC/USD,7018.77,7019.0,6961.2,6967.7,6108173.94,874.55
1535601600,2018-08-30 04:00:00,BTC/USD,7024.4,7024.4,6990.1,7018.77,2143491.92,305.92
1535598000,2018-08-30 03:00:00,BTC/USD,7007.3,7025.1,6991.1,7024.4,2095208.21,299.0
1535594400,2018-08-30 02:00:00,BTC/USD,7045.9,7050.0,6963.5,7007.3,7537903.84,1075.36
1535590800,2018-08-30 01:00:00,BTC/USD,7053.84,7053.84,7033.9,7045.9,1091404.93,154.96
1535587200,2018-08-30 00:00:00,BTC/USD,7039.0,7060.0,7030.6,7053.84,1574180.2,223.46
1535583600,2018-08-29 23:00:00,BTC/USD,7061.87,7061.9,7021.5,7039.0,5651789.51,802.82
1535580000,2018-08-29 22:00:00,BTC/USD,7060.7,7062.0,7044.0,7061.87,1895304.51,268.71
1535576400,2018-08-29 21:00:00,BTC/USD,7044.3,7070.0,7034.5,7060.7,3864767.12,548.05
1535572800,2018-08-29 20:00:00,BTC/USD,7006.4,7061.3,6996.9,7044.3,7527459.05,1069.67
1535569200,2018-08-29 19:00:00,BTC/USD,7017.9,7025.0,6995.92,7006.4,1976214.82,281.68
1535565600,2018-08-29 18:00:00,BTC/USD,7020.6,7021.1,6985.1,7017.9,3849593.59,549.78
1535562000,2018-08-29 17:00:00,BTC/USD,6995.9,7025.0,6995.4,7020.6,6397093.76,912.14
1535558400,2018-08-29 16:00:00,BTC/USD,6979.0,7008.33,6936.8,6995.9,10832125.38,1552.81
1535554800,2018-08-29 15:00:00,BTC/USD,7082.0,7083.7,6924.27,6979.0,23949530.28,3424.12
1535551200,2018-08-29 14:00:00,BTC/USD,7100.1,7111.9,7063.96,7082.0,6901945.83,973.43
1535547600,2018-08-29 13:00:00,BTC/USD,7096.05,7117.0,7093.0,7100.1,7825886.28,1101.63
1535544000,2018-08-29 12:00:00,BTC/USD,7089.0,7119.9,7087.6,7096.05,8806086.64,1240.08
1535540400,2018-08-29 11:00:00,BTC/USD,7089.77,7093.0,7059.8,7089.0,4843718.26,684.46
1535536800,2018-08-29 10:00:00,BTC/USD,7112.0,7139.4,7084.6,7089.77,6916924.31,972.89
1535533200,2018-08-29 09:00:00,BTC/USD,7077.3,7112.0,7068.5,7112.0,8465402.06,1193.54
1535529600,2018-08-29 08:00:00,BTC/USD,7060.0,7086.0,7045.8,7077.3,2888721.53,408.98
1535526000,2018-08-29 07:00:00,BTC/USD,7054.1,7071.9,7050.0,7060.0,3815642.53,540.53
1535522400,2018-08-29 06:00:00,BTC/USD,7060.7,7087.7,7044.0,7054.1,2249714.93,318.36
1535518800,2018-08-29 05:00:00,BTC/USD,7045.1,7064.9,7042.0,7060.7,2111654.43,299.39
1535515200,2018-08-29 04:00:00,BTC/USD,7046.6,7065.0,7043.03,7045.1,3033256.19,429.98
1535511600,2018-08-29 03:00:00,BTC/USD,7030.6,7055.4,7021.3,7046.6,3919449.86,557.04
1535508000,2018-08-29 02:00:00,BTC/USD,7060.5,7075.0,7022.6,7030.6,5970500.77,847.41
1535504400,2018-08-29 01:00:00,BTC/USD,7073.2,7088.8,7048.8,7060.5,3729463.25,527.81
1535500800,2018-08-29 00:00:00,BTC/USD,7079.9,7085.9,7062.0,7073.2,2214974.42,313.05
1535497200,2018-08-28 23:00:00,BTC/USD,7080.4,7115.8,7060.3,7079.9,4522948.62,637.21
1535493600,2018-08-28 22:00:00,BTC/USD,7065.0,7085.4,7034.5,7080.4,2450763.36,347.2
1535490000,2018-08-28 21:00:00,BTC/USD,7082.8,7108.4,7065.0,7065.0,3947618.82,556.97
1535486400,2018-08-28 20:00:00,BTC/USD,7097.0,7127.9,7077.5,7082.8,6182099.15,869.56
1535482800,2018-08-28 19:00:00,BTC/USD,7062.75,7119.4,7058.5,7097.0,10105561.87,1423.54
1535479200,2018-08-28 18:00:00,BTC/USD,7056.7,7079.4,7045.0,7062.75,3427881.47,485.18
1535475600,2018-08-28 17:00:00,BTC/USD,7027.2,7070.0,6997.98,7056.7,11389542.59,1619.3
1535472000,2018-08-28 16:00:00,BTC/USD,7053.5,7058.6,6991.0,7027.2,10564649.72,1503.25
1535468400,2018-08-28 15:00:00,BTC/USD,7066.0,7066.1,7035.8,7053.5,8853790.81,1255.99
1535464800,2018-08-28 14:00:00,BTC/USD,7086.7,7092.9,7046.0,7066.0,14233740.03,2013.51
1535461200,2018-08-28 13:00:00,BTC/USD,7042.36,7096.5,7034.2,7086.7,13275095.08,1877.46
1535457600,2018-08-28 12:00:00,BTC/USD,7035.1,7047.6,6998.8,7042.36,11084457.38,1579.06
1535454000,2018-08-28 11:00:00,BTC/USD,6934.9,7088.7,6934.9,7035.1,25107016.09,3579.71
1535450400,2018-08-28 10:00:00,BTC/USD,6934.7,6937.0,6920.0,6934.9,4332611.24,625.34
1535446800,2018-08-28 09:00:00,BTC/USD,6922.6,6934.8,6922.6,6934.7,1666975.89,240.64
1535443200,2018-08-28 08:00:00,BTC/USD,6929.7,6937.9,6913.2,6922.6,4502145.65,650.11
1535439600,2018-08-28 07:00:00,BTC/USD,6921.5,6950.7,6913.9,6929.7,8168703.06,1177.9
1535436000,2018-08-28 06:00:00,BTC/USD,6903.9,6935.8,6903.9,6921.5,10585342.65,1528.65
1535432400,2018-08-28 05:00:00,BTC/USD,6901.7,6906.8,6899.9,6903.9,1966051.27,284.83
1535428800,2018-08-28 04:00:00,BTC/USD,6886.0,6906.73,6886.0,6901.7,2385193.6,345.9
1535425200,2018-08-28 03:00:00,BTC/USD,6881.8,6918.0,6881.7,6886.0,4170244.14,604.54
1535421600,2018-08-28 02:00:00,BTC/USD,6915.8,6928.0,6872.0,6881.8,4983645.62,722.84
1535418000,2018-08-28 01:00:00,BTC/USD,6905.6,6963.0,6899.2,6915.8,9563680.82,1380.12
1535414400,2018-08-28 00:00:00,BTC/USD,6909.4,6912.0,6872.6,6905.6,19765348.71,2866.64
