,ma1_length,ma2_length,cumulative_return,cumulative_baseline_return,profitable_quarters,total_trades,quarters_beating_baseline_results,strategy_quarterly_stdev,baseline_quarterly_stdev
57,915,946,0.03043952544233597,-0.019119589298539852,4,8,0.43,0.05160912644783729,0.05468301462708125
58,255,469,-0.1483084622849179,-0.019119589298539852,1,10,0.25,0.06384968147045271,0.058147634329129436
59,353,1035,0.11234699749104426,-0.019119589298539852,3,1,0.43,0.03597437347796914,0.058925987663933435
60,507,588,0.03049039844205259,-0.019119589298539852,2,10,0.5,0.03890016874641386,0.05824910544409691
61,76,485,-0.1303750824650748,-0.019119589298539852,1,10,0.38,0.051548508536113626,0.05501454262729472
62,987,1019,-0.05664047608377254,-0.019119589298539852,3,8,0.14,0.05837500229277545,0.057608620783623575
63,757,883,-0.0013453141907479038,-0.019119589298539852,2,4,0.57,0.04951791132802467,0.053885139690048
64,436,1080,0.09499092146378296,-0.019119589298539852,3,1,0.43,0.036152148708692544,0.062209587303621965
65,957,960,-0.03755613557364812,-0.019119589298539852,3,20,0.43,0.05222254685883232,0.0538207962715958
66,21,134,-0.11489341871255077,-0.019119589298539852,3,33,0.25,0.05766196619533287,0.05622587016483864
67,942,1011,-0.000795237840461982,-0.019119589298539852,3,6,0.29,0.06141152392459568,0.05688214591360692
68,18,1031,-0.056198471971206865,-0.019119589298539852,1,9,0.43,0.04746032547938046,0.05859439511765839
69,763,915,0.08348902781678791,-0.019119589298539852,2,4,0.71,0.038851701964557464,0.0540611106929018
70,322,1038,0.11941000483036746,-0.019119589298539852,3,1,0.43,0.03619241484532934,0.05882460862560202
71,159,906,-0.036065029608073895,-0.019119589298539852,2,5,0.57,0.05378485763309689,0.053776565239120715
72,161,391,-0.1510509664963312,-0.019119589298539852,1,10,0.25,0.05558487257821979,0.05733898598856207
73,16,869,-0.09379965783411148,-0.019119589298539852,1,11,0.43,0.05252667104105852,0.05396336719136601
74,183,1068,0.04665446987134003,-0.019119589298539852,2,3,0.43,0.041574690641438546,0.05934433981232246
75,654,655,-0.17917238877996755,-0.019119589298539852,1,76,0.38,0.031821288597909524,0.05879886792512819
76,1014,1029,-0.07104158636094393,-0.019119589298539852,2,10,0.14,0.055496085630194356,0.05790082115366009
77,8,518,-0.2054731852866878,-0.019119589298539852,2,30,0.38,0.060601748752498116,0.05919382886429649
78,1005,1084,0.05313590019547809,-0.019119589298539852,2,4,0.43,0.03796551861788675,0.06026177809083197
79,946,979,0.008782599706484762,-0.019119589298539852,3,8,0.43,0.057962844169797516,0.05394518095476965
80,191,455,-0.18158970061249835,-0.019119589298539852,1,10,0.38,0.06190503163186716,0.05815538966226725
81,57,121,0.0652549901010111,-0.019119589298539852,5,21,0.5,0.04680799524239543,0.05622587016483864
82,110,1041,-0.011517014622709931,-0.019119589298539852,2,5,0.29,0.04924331803993225,0.060063155305293735
83,368,938,0.0960889702000689,-0.019119589298539852,3,1,0.57,0.036110909968124924,0.05417328036812386
84,346,1031,0.1266504574962941,-0.019119589298539852,3,1,0.43,0.0365869282040319,0.05859439511765839
85,989,1014,-0.07365323145783642,-0.019119589298539852,2,8,0.14,0.05827874953829957,0.05788681840166018
86,976,1032,-0.031444428215388176,-0.019119589298539852,3,6,0.14,0.056506106495103695,0.05939158373088733
87,206,849,-0.03275073102398096,-0.019119589298539852,2,5,0.57,0.05195804213348131,0.05677418377262458
88,363,1007,0.10428359001155196,-0.019119589298539852,3,1,0.57,0.03593061978489728,0.05673305281825034
89,595,742,0.07465460469155927,-0.019119589298539852,3,4,0.5,0.03485763456116636,0.058009471570561424
90,726,1037,0.0787222834433492,-0.019119589298539852,2,4,0.57,0.050888913138889304,0.059683559668412454
91,36,862,-0.050483246638681534,-0.019119589298539852,2,9,0.43,0.05103500338973196,0.05460899471245492
92,458,531,0.08240772747182312,-0.019119589298539852,3,12,0.62,0.039544452915734295,0.059192181236902605
93,401,704,0.10024977964160042,-0.019119589298539852,3,4,0.5,0.035524562061687234,0.05595012339309098
94,324,990,0.1466986164709816,-0.019119589298539852,3,1,0.71,0.03853011827606834,0.05359628765684989
95,1010,1046,-0.09181721779380458,-0.019119589298539852,2,6,0.29,0.05836094486782723,0.06470923504776306
96,567,606,-0.07996273534242082,-0.019119589298539852,2,18,0.38,0.03155903647150303,0.06397958187063742
97,59,576,-0.059635205024554105,-0.019119589298539852,2,10,0.5,0.04526593782324535,0.055073591330054864
98,10,744,-0.1559432337389275,-0.019119589298539852,1,21,0.38,0.05548590607171839,0.05726613263712943
99,87,685,-0.11998454875636433,-0.019119589298539852,1,10,0.38,0.051190617381228085,0.06027069370032608
