,ma,buy_threshold,take_profit_threshold,stop_loss_threshold,cumulative_return,cumulative_baseline_return,profitable_quarters,total_trades,quarters_beating_baseline_results,strategy_quarterly_stdev,baseline_quarterly_stdev
21,107,0.19,0.98,0.54,0.0,-0.02141643304675378,0,0,0.5,0.0,0.0566441793371635
22,59,0.41,0.86,0.65,0.0,-0.0376868990902981,0,0,0.5,0.0,0.0557408965685865
23,790,0.92,0.95,0.12,0.0,-0.04172432059113429,0,0,0.43,0.0,0.06148941153027179
24,1039,0.82,0.86,0.57,0.0,-0.03329193388543572,0,0,0.43,0.0,0.05947392660015469
25,342,0.69,0.84,0.49,0.0,-0.047521248172294306,0,0,0.5,0.0,0.05551048744046654
26,116,0.52,0.3,0.97,0.0,-0.0251893988096501,0,0,0.5,0.0,0.05637783986221047
27,97,0.02,0.36,0.07,-0.2309154971233477,-0.023989551659433506,4,33,0.12,0.09244824158026559,0.05645887044404483
28,118,0.06,0.66,0.14,-0.010366336203692872,-0.026299335654037304,4,1,0.12,0.05526656625133566,0.056305945642946824
29,960,0.14,0.15,0.74,0.13842959497689855,0.02085528505251588,4,1,0.29,0.048318086215643895,0.04904254048015368
30,134,0.67,0.52,0.41,0.0,0.0030127362799854396,0,0,0.5,0.0,0.059155248866240066
31,289,0.74,0.59,0.99,0.0,-0.035152499112382274,0,0,0.5,0.0,0.05583919573748646
32,864,0.12,0.52,0.76,0.1123739362419478,-0.015973978053260507,4,1,0.29,0.04534519271575482,0.05561926071129412
33,188,0.69,0.6,0.67,0.0,2.7988797768330187e-07,0,0,0.5,0.0,0.058775063091204754
34,353,0.74,0.16,0.97,0.0,-0.055360617030116854,0,0,0.5,0.0,0.05567062936530638
35,714,0.22,0.37,0.99,0.0,-0.043699415343515624,0,0,0.5,0.0,0.055097367198240974
36,986,0.38,0.95,0.36,0.0,0.028462298950066467,0,0,0.43,0.0,0.048023392746607815
37,703,0.8,0.28,0.93,0.0,-0.05480783310311055,0,0,0.5,0.0,0.05563622274966209
38,681,0.51,0.32,0.89,0.0,-0.0573614127420059,0,0,0.5,0.0,0.055801097174919226
39,256,0.84,0.19,0.94,0.0,0.0034280933460866247,0,0,0.5,0.0,0.05920915049063077
40,1081,0.66,0.5,0.55,0.0,-0.03721851070985094,0,0,0.43,0.0,0.060402075250763916
41,322,0.21,0.09,0.64,0.0,-0.04449555704991803,0,0,0.5,0.0,0.05555568284429495
