,ma,buy_threshold,take_profit_threshold,stop_loss_threshold,median_return_rate,stdev_return_rate,cumulative_return,cumulative_baseline_return,profitable_quarters,sharpe_ratio,total_trades,mean_trades_per_quarter
52,39,0.85,0.42,0.42,0.0,,0.0,32.248566172492154,0,,0,0.0
53,925,0.44,0.62,0.56,-0.07311306901615267,,2.68692626147477,32.248566172492154,11,,2,0.05714285714285714
54,518,0.04,0.2,0.36,0.04085803456852721,,30.035353535353536,32.248566172492154,18,,139,3.9714285714285715
55,415,0.43,0.32,0.02,0.0,,4.044017155404157,32.248566172492154,8,,6,0.17142857142857143
56,780,0.08,0.75,0.59,0.04085803456852721,,32.16243928764167,32.248566172492154,18,,5,0.14285714285714285
57,674,0.78,0.0,0.95,0.0,,0.0,32.248566172492154,0,,0,0.0
58,749,0.0,0.77,0.6,0.04085803456852721,,29.633100697906286,32.248566172492154,18,,3,0.08571428571428572
59,1034,0.86,0.7,0.17,0.0,,0.0,32.248566172492154,0,,0,0.0
60,747,0.67,0.3,0.34,0.0,,0.0,32.248566172492154,0,,0,0.0
61,875,0.43,0.8,0.59,-0.02729571067403702,,2.5108768622073674,32.248566172492154,10,,1,0.02857142857142857
62,775,0.73,0.93,0.14,0.0,,0.0,32.248566172492154,0,,0,0.0
63,674,0.95,0.32,0.67,0.0,,0.0,32.248566172492154,0,,0,0.0
64,1051,0.56,0.44,0.78,0.0,,0.0,32.248566172492154,0,,0,0.0
65,797,0.86,0.57,0.3,0.0,,0.0,32.248566172492154,0,,0,0.0
66,352,0.7,0.78,0.45,0.0,,0.0,32.248566172492154,0,,0,0.0
67,478,0.06,0.68,0.54,0.04085803456852699,,30.30811361609986,32.248566172492154,18,,3,0.08571428571428572
68,454,0.1,0.91,0.24,0.04085803456852699,,47.794044665012414,32.248566172492154,18,,673,19.228571428571428
69,854,0.14,0.66,0.46,0.04085803456852699,,46.6827872509651,32.248566172492154,18,,25,0.7142857142857143
70,472,0.46,0.11,0.78,0.0,,4.710966542750929,32.248566172492154,8,,2,0.05714285714285714
71,194,0.34,0.06,0.06,-0.07311306901615267,,3.019886828247147,32.248566172492154,11,,16,0.45714285714285713
72,223,0.39,0.71,0.98,0.0,,4.044017155404157,32.248566172492154,8,,1,0.02857142857142857
73,961,0.2,0.96,0.73,0.04085803456852721,,50.616967660646786,32.248566172492154,19,,3,0.08571428571428572
74,713,0.56,0.22,0.4,0.0,,0.0,32.248566172492154,0,,0,0.0
75,1006,0.61,0.36,0.99,0.0,,0.0,32.248566172492154,0,,0,0.0
76,157,0.1,0.58,0.89,0.04085803456852699,,39.29508196721311,32.248566172492154,18,,1,0.02857142857142857
77,668,0.37,0.43,0.82,-0.040993648871301636,,2.4614355522383855,32.248566172492154,10,,4,0.11428571428571428
78,633,0.4,0.47,0.64,-0.07311306901615267,,2.68692626147477,32.248566172492154,11,,4,0.11428571428571428
79,472,0.05,0.4,0.17,0.04085803456852721,,30.035353535353607,32.248566172492154,18,,2163,61.8
80,457,0.16,0.42,0.8,0.04085803456852699,,49.45155993431855,32.248566172492154,18,,9,0.2571428571428571
81,364,0.84,0.98,0.01,0.0,,0.0,32.248566172492154,0,,0,0.0
82,175,0.15,0.91,0.85,0.04085803456852699,,41.50903619666915,32.248566172492154,18,,1,0.02857142857142857
83,13,0.79,0.14,0.08,0.0,,0.0,32.248566172492154,0,,0,0.0
84,844,0.46,0.52,0.06,-0.07311306901615267,,2.7960217445021,32.248566172492154,11,,18,0.5142857142857142
85,0,0.17,0.23,0.89,0.0,,0.0,32.248566172492154,0,,0,0.0
86,611,0.11,0.11,0.82,0.04085803456852699,,43.939309079148224,32.248566172492154,18,,57,1.6285714285714286
87,242,0.65,0.75,0.5,0.0,,0.0,32.248566172492154,0,,0,0.0
88,894,0.81,0.2,0.6,0.0,,0.0,32.248566172492154,0,,0,0.0
89,905,0.35,0.3,0.77,0.04085803456852721,,67.86195671053882,32.248566172492154,18,,7,0.2
90,1090,0.45,0.88,0.6,-0.07311306901615267,,2.68692626147477,32.248566172492154,11,,1,0.02857142857142857
91,439,0.12,0.67,0.47,0.04085803456852699,,43.219767567373076,32.248566172492154,18,,5,0.14285714285714285
92,797,0.48,0.0,0.73,-0.07311306901615267,,3.019886828247146,32.248566172492154,11,,4,0.11428571428571428
93,573,0.33,0.84,0.33,-0.07311306901615267,,1.6148936170212767,32.248566172492154,10,,198,5.6571428571428575
94,290,0.42,0.48,0.08,0.0,,4.044017155404157,32.248566172492154,8,,4,0.11428571428571428
95,152,0.25,0.12,0.67,0.07911348977631394,,55.37614678899084,32.248566172492154,19,,18,0.5142857142857142
96,322,0.5,0.26,0.4,0.0,,0.0,32.248566172492154,0,,0,0.0
97,535,0.88,0.44,0.13,0.0,,0.0,32.248566172492154,0,,0,0.0
98,1066,0.67,0.15,0.18,0.0,,0.0,32.248566172492154,0,,0,0.0
99,1074,0.64,0.16,0.56,0.0,,0.0,32.248566172492154,0,,0,0.0
