,ma,buy_threshold,take_profit_threshold,stop_loss_threshold,median_return_rate,stdev_return_rate,cumulative_return,cumulative_baseline_return,profitable_quarters,sharpe_ratio
76,1073,0.33,0.83,0.67,0.04085803456852699,,66.49040842680078,32.248566172492154,18,
77,355,0.09,0.06,0.99,0.04085803456852699,,41.71068635968723,32.248566172492154,18,
78,439,0.06,0.72,0.13,0.04085803456852699,,30.30811361609986,32.248566172492154,18,
79,404,0.94,0.65,0.57,0.0,,0.0,32.248566172492154,0,
80,850,0.63,0.3,0.96,0.0,,0.0,32.248566172492154,0,
81,949,0.37,0.06,0.65,-0.07311306901615267,,1.6148936170212767,32.248566172492154,10,
82,423,0.2,0.63,0.73,0.04085803456852699,,49.369884628783375,32.248566172492154,18,
83,216,0.46,0.36,0.82,0.0,,4.710966542750929,32.248566172492154,8,
84,968,0.14,0.69,0.43,0.04085803456852699,,46.6827872509651,32.248566172492154,18,
85,535,0.47,0.8,0.05,0.0,,4.710966542750929,32.248566172492154,8,
86,21,0.53,0.05,0.65,0.0,,0.0,32.248566172492154,0,
87,127,0.39,0.18,0.39,0.0,,4.710966542750929,32.248566172492154,8,
88,34,0.35,0.83,0.81,0.0,,4.710966542750929,32.248566172492154,8,
89,933,0.97,0.32,0.08,0.0,,0.0,32.248566172492154,0,
90,1046,0.7,0.22,0.72,0.0,,0.0,32.248566172492154,0,
91,296,0.18,0.46,0.64,0.04085803456852699,,49.369884628783375,32.248566172492154,18,
92,684,0.34,0.17,0.98,-0.07311306901615267,,1.6148936170212767,32.248566172492154,10,
93,270,0.1,0.0,0.87,0.04085803456852699,,41.55950214039839,32.248566172492154,18,
94,510,0.44,0.3,0.21,0.0,,4.044017155404157,32.248566172492154,8,
95,57,0.13,0.5,0.26,0.04085803456852699,,30.312101910828027,32.248566172492154,18,
96,197,0.63,0.11,0.3,0.0,,0.0,32.248566172492154,0,
97,570,0.02,0.86,0.68,0.04085803456852699,,30.094637503320723,32.248566172492154,18,
98,579,0.89,0.04,0.29,0.0,,0.0,32.248566172492154,0,
99,199,0.53,0.53,0.05,0.0,,0.0,32.248566172492154,0,
