,ma1_length,ma2_length,median_return_rate,stdev_return_rate,cumulative_return,cumulative_baseline_return,profitable_quarters,sharpe_ratio
20,421,940,0.09364239454468848,0.6329798750847393,17.834312375478625,8.866619193689745,12,0.10193963207671512
21,87,119,0.1452431088434032,0.5730769494548378,22.418658750343052,8.866619193689745,11,0.1063772427517428
22,1061,1066,0.0031452899283324065,0.5436412508660321,7.735335730832968,8.866619193689745,9,0.08806554142827487
23,183,852,0.1361494242952579,0.6897611781595654,16.630287266574506,8.866619193689745,12,0.09829711538015361
24,547,855,0.11617973294254313,0.6180998909388751,11.19001391033434,8.866619193689745,11,0.09556643345286996
25,1047,1058,0.013528748590755368,0.6020691318177082,5.704792154780433,8.866619193689745,9,0.07658483589292048
26,674,1095,0.06984270878713383,0.5504636588071855,11.842771656469683,8.866619193689745,9,0.09431072281875653
27,458,635,0.22023813586156682,0.6570433459702258,25.10657767079434,8.866619193689745,12,0.1071497643246101
28,689,1090,0.07693078130226105,0.5357675808461617,11.527626467384811,8.866619193689745,9,0.09369836698871413
29,845,935,0.060047616290778816,0.5629255117326188,8.63303786197293,8.866619193689745,11,0.08537924189191157
30,799,1088,0.03202811680409057,0.571582993294325,6.281576023517335,8.866619193689745,9,0.07896858827604548
31,6,815,0.19873551199696893,0.4921466556945488,15.965415504120426,8.866619193689745,12,0.10167846929338463
32,169,857,0.14791522116551659,0.6793377093148211,19.929729013598507,8.866619193689745,12,0.09953237059821571
33,866,975,0.05908619100342194,0.5823616651499836,9.217197590729507,8.866619193689745,9,0.08660868361215796
34,300,1043,0.08619209111728932,0.6673803059631667,28.685197919746635,8.866619193689745,11,0.1097792306687856
35,853,1039,0.027783121748450545,0.5870366314113524,5.220200234512216,8.866619193689745,9,0.07563646127900794
36,98,1051,0.1395365420674206,0.6997137088536727,16.712761531291104,8.866619193689745,11,0.09481754691544261
37,818,861,0.058691352286791565,0.5727005367001209,12.572038898332806,8.866619193689745,9,0.09281530032652864
38,872,989,0.039580986994808276,0.6016010688167632,6.167460918565799,8.866619193689745,9,0.0785117895624255
39,891,947,0.0390535280820441,0.5929077707239057,7.6694615747655135,8.866619193689745,9,0.08259159319046247
40,596,959,0.12074692956259359,0.6142981136649474,16.31371092492821,8.866619193689745,11,0.09989289577500261
41,920,957,0.016484622113714265,0.5795913813027525,9.231303771794561,8.866619193689745,10,0.08636894566593548
42,201,376,0.10157217430344545,0.5699197929465966,4.818764144696792,8.866619193689745,10,0.07101807762238749
