,ma1_length,ma2_length,median_return_rate,stdev_return_rate,cumulative_return,cumulative_baseline_return,profitable_quarters,sharpe_ratio
35,101,935,0.05091228037623052,1.5391433104100476,87.72997089367796,76.40482573726541,11,0.07907803710737259
36,981,1045,-0.007080557735587356,0.8765837598874155,27.429560766678566,76.40482573726541,8,0.07569626796545952
37,340,949,0.004999233488972132,1.510560401055404,102.8596366191605,76.40482573726541,10,0.07985878176902549
38,867,1002,-0.010208653182635863,1.0332748785751398,25.427928563305706,76.40482573726541,9,0.06845280355755905
39,400,841,0.01724738675958193,1.549405553339329,82.089848773313,76.40482573726541,11,0.07743982750240741
40,616,820,0.05649965209347574,1.3807663287158978,66.20927530011856,76.40482573726541,10,0.07469698412004501
41,1069,1091,-0.002834023685256537,0.8850734917137637,23.018229765208638,76.40482573726541,9,0.07640755908521912
42,635,973,0.026957428872614653,1.1349734546242471,47.6971992096232,76.40482573726541,10,0.07207992860782333
43,807,1033,-0.00741845351148096,1.0703699299657305,37.56587201654088,76.40482573726541,9,0.06998523784657566
44,758,952,0.008906203009377167,1.0078910111872987,40.9698749248952,76.40482573726541,10,0.07024066872885336
45,286,1046,-0.010582530574554272,1.5110093017412625,132.70727316358216,76.40482573726541,9,0.08236975380940033
46,894,1067,0.012381068112939708,1.0154012992129495,29.67812836733152,76.40482573726541,10,0.06969205778005025
47,423,856,0.021223883452568648,1.5332439761194747,84.8199152513965,76.40482573726541,12,0.07781862102960549
48,131,999,0.0542515472302354,1.4783509689499457,108.91399376138186,76.40482573726541,11,0.0805710781414498
49,785,1058,-0.014392643468907118,1.0784009251020112,27.801703925799373,76.40482573726541,9,0.06733797790241619
50,593,598,0.060578729206374415,1.2724905689186512,67.5972546698656,76.40482573726541,12,0.07427737727496005
51,1027,1033,-5.8367592825070425e-05,0.8884345792399495,18.237934531796938,76.40482573726541,9,0.07089214834792955
52,722,884,-0.04430354656397062,1.081102016017545,35.58205742377672,76.40482573726541,8,0.06909763023891619
53,941,1031,0.012557714471439274,0.8855968723158053,37.36589727969715,76.40482573726541,11,0.07556101726692238
54,805,831,-0.015676062015048564,1.1952671736397817,76.2481824827075,76.40482573726541,9,0.07646306775937249
55,1062,1066,-0.0071029881527592265,0.9142531016127258,25.73421513248608,76.40482573726541,8,0.0798252837850763
56,942,1072,0.008188517795358008,0.8784225546052311,39.36863553132801,76.40482573726541,11,0.0781652597286699
57,357,555,0.10993603530089802,1.5967203059604524,81.0421172961252,76.40482573726541,11,0.07783309507241909
58,991,1030,0.01105249601531444,0.8418220362856197,26.848497509655235,76.40482573726541,10,0.0753485045661822
59,75,417,0.02903625115691777,1.6087467707088912,130.6659253670669,76.40482573726541,12,0.08116199668526189
60,746,1026,-0.01791002735234104,1.0468383409773714,31.358430035789127,76.40482573726541,8,0.06850912291477783
61,366,892,0.021720243266724504,1.5049550613514764,104.70130484717819,76.40482573726541,10,0.08015120273769741
62,130,1006,0.032174648214132295,1.4765188298527663,105.94576750136167,76.40482573726541,11,0.08040271434861541
63,141,622,0.08216654360702447,1.702189460459456,74.02865902588223,76.40482573726541,12,0.07800382671892142
64,577,989,0.01834564219734136,1.298720172838025,72.75289671294242,76.40482573726541,11,0.07612073264991054
65,928,1043,0.020173862257139685,0.8891428193883577,29.80127355960775,76.40482573726541,10,0.07241498982987221
66,317,569,0.04622562536931274,1.4066165752879158,58.371936604884105,76.40482573726541,12,0.07381958282339865
67,425,687,0.09480583077828153,1.4901549485327792,159.14476170879036,76.40482573726541,12,0.08299299828436063
68,62,549,0.08073365211450168,1.7624168039754977,151.54481984588494,76.40482573726541,12,0.0836158274425665
69,830,1044,-0.006238420668301381,1.0219808163917234,24.459438671497807,76.40482573726541,8,0.06678214321184907
70,886,944,0.01784213000868018,1.189591040128305,49.77443067185908,76.40482573726541,10,0.07360908426451712
71,717,955,0.0356250782551768,0.9727684897609619,33.29833675270784,76.40482573726541,10,0.06862093270003011
72,772,919,-0.0031373615262321186,0.9797594134188887,37.14161930681169,76.40482573726541,9,0.06948172585598256
73,987,1047,-0.005730823014515218,0.863989482343813,28.386648622150098,76.40482573726541,9,0.07633457700261533
74,395,658,0.06102567677772597,1.5187304254084766,102.76482128654636,76.40482573726541,12,0.07955184224664193
75,1039,1041,0.028598131049278663,0.8286514225288548,19.386950896646617,76.40482573726541,11,0.07382947352536881
76,740,775,-0.034791223014936756,1.419432710085866,56.49657664748067,76.40482573726541,8,0.07399245455950271
77,620,734,0.03783759234545059,1.562142358217681,54.46990242264549,76.40482573726541,10,0.0734092952960373
78,10,919,0.10695395510991101,1.7512542621555536,95.91157021440854,76.40482573726541,11,0.08157880751634673
79,140,402,0.024652498134991596,1.446565559145744,71.26150889436687,76.40482573726541,10,0.07508723641659502
80,459,1018,0.023671955321544313,1.5479554954395294,106.84323305206024,76.40482573726541,11,0.07996316533533931
81,349,617,0.020245776623106337,1.609814010721811,48.72514141544511,76.40482573726541,12,0.07323186543460727
82,418,1078,0.012450030092495679,1.5500256551161455,73.27855871598139,76.40482573726541,10,0.07646333075918914
83,994,1056,-0.003697457593569209,0.804333674343448,21.1344768421716,76.40482573726541,9,0.07331483016342048
84,1075,1089,0.013997997526831174,0.8990456449333929,26.073630523215652,76.40482573726541,10,0.07784426518829861
85,504,1087,0.010890429436987592,1.4573116271789814,72.97992013752172,76.40482573726541,10,0.07636022943529971
86,558,819,0.006412746596339947,1.4629136878863342,71.17984354942878,76.40482573726541,10,0.07550724936670608
87,495,511,0.011400819152989072,1.8742259646688546,107.56439875220701,76.40482573726541,11,0.07985406434115654
88,771,1008,-0.015470231973146453,1.1086373694526672,35.8316742102272,76.40482573726541,8,0.0694273532173104
89,263,357,-0.04435178877143087,1.8701633671535236,41.549044797379956,76.40482573726541,8,0.07217659703722305
90,783,801,-0.018676818797774608,1.4273132053551085,50.97794568589437,76.40482573726541,8,0.07294406308372295
91,431,688,0.11939897484881135,1.5218213704430235,194.77771388072838,76.40482573726541,13,0.0848933278255776
92,882,1061,0.009681940489794094,1.0415017252998076,31.29973355938661,76.40482573726541,10,0.07007917042197169
93,288,462,0.002930685045221759,1.553310440819901,81.2602947073749,76.40482573726541,10,0.07923330737796165
94,123,1037,0.009134331298010556,1.4802899613395613,104.37104888173488,76.40482573726541,10,0.08021984677869558
95,553,658,0.047409658726093706,1.3932364388468554,69.96964663985925,76.40482573726541,12,0.0746286625385917
96,1089,1093,0.0009315009333408231,1.0239794667963242,27.238314580481,76.40482573726541,10,0.07405714920109024
97,498,773,0.028889790302880414,1.6064382566140964,58.64729695597858,76.40482573726541,11,0.07386799726857197
98,940,983,0.023500035559800514,1.0315560574482914,19.730009807552687,76.40482573726541,11,0.06616480339271068
99,768,812,-0.0864750921132752,1.4170335676097359,37.39326799843108,76.40482573726541,8,0.07013716183038776
