,ma,buy_threshold,take_profit_threshold,stop_loss_threshold,median_return_rate,stdev_return_rate,cumulative_return,cumulative_baseline_return,profitable_quarters,sharpe_ratio
58,865,0.29,0.23,0.08,0.0,0.09947723723127884,0.3354800097070352,8.866619193689745,3,0.04049836569139237
59,409,0.34,0.63,0.27,0.0,0.04725130702256303,0.382766477431562,8.866619193689745,3,0.06585200734284957
60,371,0.61,0.4,0.91,0.0,0.0,0.0,8.866619193689745,0,
61,127,0.38,0.25,0.24,0.0,0.0,0.0,8.866619193689745,0,
62,124,0.81,0.49,0.03,0.0,0.0,0.0,8.866619193689745,0,
63,101,0.21,0.6,0.5,0.33767203393734535,0.789337222199986,14.697167755991284,8.866619193689745,11,0.09234383440201478
64,316,0.39,0.94,0.07,0.0,0.014696954169305608,0.09026936849263789,8.866619193689745,2,0.05546064129369812
65,694,0.95,0.25,0.89,0.0,0.0,0.0,8.866619193689745,0,
66,156,0.1,0.68,0.75,0.07093521696406957,0.7967363933065102,9.442028985507246,8.866619193689745,10,0.08422206642274911
67,754,0.04,0.29,0.44,0.07093521696406957,0.796536893870618,9.779414277967538,8.866619193689745,11,0.08608864211185722
68,1036,0.97,0.89,0.5,0.0,0.0,0.0,8.866619193689745,0,
69,1001,0.24,0.14,0.58,0.3376720339373456,0.7894382157843395,13.674134419551935,8.866619193689745,11,0.09184828420182643
70,766,0.72,0.06,0.43,0.0,0.0,0.0,8.866619193689745,0,
71,638,0.91,0.97,0.66,0.0,0.0,0.0,8.866619193689745,0,
72,470,0.19,0.75,0.26,0.07093521696406957,0.7931125632955741,11.719979629914766,8.866619193689745,11,0.08865181259813698
73,923,0.74,0.21,0.78,0.0,0.0,0.0,8.866619193689745,0,
74,821,0.13,0.58,0.48,0.07093521696406935,0.7931925676689734,10.73848522514164,8.866619193689745,11,0.08739732404211933
75,87,0.35,0.92,0.58,0.0,0.0,0.0,8.866619193689745,0,
76,634,0.63,0.66,0.6,0.0,0.0,0.0,8.866619193689745,0,
77,764,0.85,0.31,0.84,0.0,0.0,0.0,8.866619193689745,0,
78,149,0.81,0.81,0.82,0.0,0.0,0.0,8.866619193689745,0,
79,777,0.02,0.69,0.58,0.19665454545454564,0.7908633007421683,12.100000000000001,8.866619193689745,11,0.0895159583204699
80,472,0.56,0.27,0.04,0.0,0.0,0.0,8.866619193689745,0,
81,764,0.01,0.59,0.92,0.07753765553372638,0.793203961659591,10.79600523903078,8.866619193689745,11,0.08746283355320132
82,550,0.34,0.32,0.0,0.0,0.06479613937060248,-0.0901876823278489,8.866619193689745,1,-0.010444542796339858
83,260,0.04,0.33,0.91,0.07093521696406957,0.8020863126372381,7.905506458191708,8.866619193689745,10,0.08111488380590945
84,1032,0.59,0.84,0.15,0.0,0.0,0.0,8.866619193689745,0,
85,1084,0.88,0.71,0.99,0.0,0.0,0.0,8.866619193689745,0,
86,282,0.52,0.71,0.73,0.0,0.0,0.0,8.866619193689745,0,
87,855,0.95,0.46,0.23,0.0,0.0,0.0,8.866619193689745,0,
88,616,0.72,0.77,0.12,0.0,0.0,0.0,8.866619193689745,0,
89,1033,0.9,0.04,0.53,0.0,0.0,0.0,8.866619193689745,0,
90,658,0.72,0.04,0.26,0.0,0.0,0.0,8.866619193689745,0,
91,64,0.84,0.75,0.02,0.0,0.0,0.0,8.866619193689745,0,
92,256,0.13,0.12,0.82,0.07093521696406957,0.7967363933065102,9.442028985507246,8.866619193689745,10,0.08422206642274911
93,346,0.97,0.03,0.08,0.0,0.0,0.0,8.866619193689745,0,
94,410,0.3,0.11,0.26,0.0,0.5960820158717626,3.4033032384014437,8.866619193689745,4,0.0713834736410055
95,581,0.68,0.2,0.58,0.0,0.0,0.0,8.866619193689745,0,
96,961,0.45,0.02,0.46,0.33767203393734535,0.7556558861482237,34.0238946861369,8.866619193689745,11,0.11226529901026853
97,273,0.14,0.58,0.29,0.07093521696406935,0.7672167029811594,9.076717795050772,8.866619193689745,10,0.08390165900283783
98,595,0.96,0.11,0.84,0.0,0.0,0.0,8.866619193689745,0,
99,563,0.39,0.88,0.2,0.0,0.027621499473916775,0.0387391575226399,8.866619193689745,1,0.015287973937008115
