,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PPL,8.906513214111328,11.642499923706055,10.769312858581543,11.20590591430664,13.068705558776855,10.681994438171387,20.92739486694336,16.322784423828125,16.26690101623535,20.444229125976562,25.008089065551758,27.58806800842285,33.614227294921875,48.581825256347656,28.547409057617188,30.36363983154297,24.69141387939453,27.802289962768555,27.001285552978516,28.063081741333008,33.97747039794922,33.900001525878906,34.04999923706055,31.079999923706055,28.25,36.0,28.280000686645508
EXC,8.737518310546875,10.69900131225586,9.004993438720703,8.715228080749512,14.755705833435059,12.303852081298828,24.87517738342285,17.225391387939453,18.972896575927734,23.769615173339844,31.59771728515625,38.25249481201172,44.144081115722656,58.3095588684082,39.76462173461914,35.0,29.94293975830078,30.827388763427734,21.462196350097656,19.586305618286133,26.44793128967285,19.600570678710938,25.442224502563477,28.20256805419922,31.940086364746094,32.653350830078125,30.256776809692383
ETR,21.875,29.125,27.75,29.9375,30.9375,25.75,41.75,38.900001525878906,45.900001525878906,56.95000076293945,67.5999984741211,69.1500015258789,92.31999969482422,119.2699966430664,83.70999908447266,82.0999984741211,71.7300033569336,73.6500015258789,64.5199966430664,63.349998474121094,87.4800033569336,67.91000366210938,73.5,81.70999908447266,85.6500015258789,119.83000183105469,99.81999969482422
PEG,13.1875,15.25,13.6875,15.90625,20.0,17.5,24.25,21.125,16.200000762939453,21.959999084472656,25.885000228881836,32.75,33.224998474121094,48.28499984741211,29.0,33.13999938964844,32.0099983215332,33.189998626708984,30.899999618530273,31.90999984741211,41.5,38.279998779296875,44.0099983215332,51.5,51.79999923706055,59.119998931884766,58.13999938964844
DTE,22.23404312133789,29.255319595336914,27.659574508666992,29.46808433532715,36.4361686706543,26.70212745666504,32.925533294677734,35.778724670410156,39.574466705322266,33.53191375732422,36.87659454345703,36.78297805786133,41.302127838134766,37.4212760925293,30.74893569946289,37.36170196533203,38.77446746826172,46.7574462890625,51.77021408081055,56.51063919067383,73.89787292480469,67.65957641601562,84.03404235839844,93.34468078613281,93.77021026611328,110.63829803466797,103.58297729492188
DUK,33.23165512084961,41.076507568359375,40.422767639160156,48.3765754699707,55.8400764465332,43.58250045776367,73.8723373413086,68.07586669921875,34.412742614746094,35.91197967529297,44.3146858215332,48.20224380493164,60.0,60.38999938964844,45.150001525878906,51.630001068115234,53.7599983215332,66.33000183105469,64.55999755859375,69.19999694824219,83.54000091552734,70.93000030517578,77.6500015258789,84.27999877929688,86.11000061035156,91.27999877929688,91.77999877929688
ES,21.625,24.25,13.0,11.75,15.875,20.5,24.0,17.6299991607666,15.239999771118164,20.200000762939453,18.809999465942383,19.790000915527344,27.950000762939453,31.09000015258789,24.100000381469727,25.649999618530273,32.04999923706055,36.459999084472656,39.470001220703125,42.349998474121094,53.529998779296875,50.650001525878906,55.25,63.18000030517578,64.93000030517578,85.02999877929688,86.66000366210938
AEP,32.75,40.5,41.25,51.4375,47.0625,32.0,46.125,43.29999923706055,27.579999923706055,30.510000228881836,34.209999084472656,37.27000045776367,42.4900016784668,46.310001373291016,33.4900016784668,35.099998474121094,36.27000045776367,41.959999084472656,43.16999816894531,46.97999954223633,60.880001068115234,57.81999969482422,63.0099983215332,73.18000030517578,74.61000061035156,94.5,83.33000183105469
PCG,24.375,28.375,21.25,30.4375,31.0,20.375,19.625,19.100000381469727,14.0,27.739999771118164,33.150001525878906,37.119998931884766,47.29999923706055,43.150001525878906,38.4900016784668,44.95000076293945,47.9900016784668,41.41999816894531,40.61000061035156,40.36000061035156,53.47999954223633,52.849998474121094,60.810001373291016,44.34000015258789,23.549999237060547,10.90999984741211,12.479999542236328
UL,10.121527671813965,11.770833015441895,13.368056297302246,19.166667938232422,24.72222137451172,16.84027862548828,19.166667938232422,18.61111068725586,21.22222137451172,20.816667556762695,21.933332443237305,22.483333587646484,28.15999984741211,37.599998474121094,23.139999389648438,32.220001220703125,31.229999542236328,33.91999816894531,39.08000183105469,40.369998931884766,40.27000045776367,42.22999954223633,40.349998474121094,55.189998626708984,52.040000915527344,57.130001068115234,61.310001373291016
ALK,3.75,4.0625,5.28125,9.875,11.125,8.875,7.375,7.287499904632568,5.454999923706055,6.880000114440918,8.425000190734863,8.957500457763672,10.0625,6.204999923706055,7.315000057220459,8.704999923706055,14.375,19.107500076293945,22.014999389648438,36.665000915527344,60.540000915527344,79.16000366210938,88.91999816894531,74.04000091552734,59.93000030517578,68.1500015258789,52.16999816894531
ALL,11.75,20.4375,28.8125,45.59375,39.375,24.0,42.9375,33.61000061035156,37.400001525878906,43.349998474121094,51.099998474121094,54.38999938964844,65.13999938964844,52.25,32.7599983215332,30.360000610351562,32.220001220703125,27.8799991607666,40.900001525878906,54.09000015258789,70.58999633789062,60.880001068115234,74.0,104.06999969482422,81.44000244140625,112.97000122070312,109.9000015258789
PGR,2.9166669845581055,4.0520830154418945,5.625,9.927083015441895,14.0,6.0520830154418945,8.614583015441895,12.454167366027832,12.532500267028809,20.897499084472656,21.487499237060547,29.19499969482422,24.5,19.030000686645508,14.829999923706055,17.989999771118164,20.09000015258789,19.809999465942383,21.450000762939453,27.290000915527344,27.09000015258789,31.399999618530273,35.7400016784668,56.459999084472656,59.279998779296875,73.91999816894531,97.58000183105469
BBBY,3.71875,4.734375,6.25,9.59375,17.0625,16.875,22.125,34.29999923706055,34.84000015258789,43.66999816894531,39.84000015258789,36.400001525878906,38.369998931884766,29.270000457763672,25.09000015258789,39.369998931884766,49.54999923706055,58.75,56.5099983215332,80.18000030517578,78.43000030517578,47.599998474121094,40.869998931884766,22.030000686645508,11.239999771118164,17.43000030517578,17.969999313354492
WMT,10.6875,11.125,11.5,19.71875,40.8125,68.375,53.125,57.650001525878906,50.650001525878906,53.349998474121094,53.75,46.36000061035156,47.09000015258789,47.40999984741211,55.97999954223633,53.7400016784668,54.22999954223633,59.970001220703125,68.93000030517578,78.72000122070312,86.2699966430664,60.5,69.23999786376953,99.30000305175781,91.63999938964844,118.86000061035156,144.3000030517578
TGT,5.8854169845581055,6.2604169845581055,9.6875,16.984375,27.125,36.125,32.625,41.04999923706055,30.399999618530273,38.45000076293945,52.66999816894531,55.52000045776367,57.849998474121094,50.04999923706055,34.63999938964844,48.470001220703125,60.2599983215332,51.88999938964844,58.56999969482422,63.529998779296875,76.11000061035156,71.83999633789062,72.66000366210938,65.94999694824219,65.05999755859375,128.74000549316406,176.50999450683594
KR,3.0,4.671875,5.828125,9.1875,15.0,9.5625,13.375,10.399999618530273,7.849999904632568,9.274999618530273,8.850000381469727,9.444999694824219,11.53499984741211,13.324999809265137,13.244999885559082,10.265000343322754,11.21500015258789,12.239999771118164,13.170000076293945,19.6299991607666,32.05500030517578,41.15999984741211,34.5,27.540000915527344,27.389999389648438,29.030000686645508,31.770000457763672
DLTR,1.1193419694900513,1.6625510454177856,3.740741014480591,6.129630088806152,9.666666984558105,10.73611068725586,8.083333015441895,10.333333015441895,8.173333168029785,10.066666603088379,9.683333396911621,7.989999771118164,10.123332977294922,8.640000343322754,13.966667175292969,16.176666259765625,28.329999923706055,42.20000076293945,41.06999969482422,55.9900016784668,70.94000244140625,76.83999633789062,77.56999969482422,107.98999786376953,89.80000305175781,94.69000244140625,107.62999725341797
BIG,12.0,13.760000228881836,25.799999237060547,44.0,20.75,16.25,10.6875,10.399999618530273,13.100000381469727,14.460000038146973,12.140000343322754,12.180000305175781,23.079999923706055,16.010000228881836,14.300000190734863,29.3799991607666,30.6200008392334,38.25,29.040000915527344,32.29999923706055,40.36000061035156,38.040000915527344,50.380001068115234,56.33000183105469,28.5,28.959999084472656,43.150001525878906
